Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
APKOPĒJS,Rīgas Juglas vidusskola,"Malienas iela 89, Rīga",620 ,31.12.2023
FINANŠU ANALĪTIĶIS,Finanšu ministrija,"Smilšu iela 1, Rīga",1586 - 2323 ,30.11.2023
LEKTORS,Rīgas Tehniskā universitāte,Rīga,115 - 300 ,16.12.2023
ELEKTRIĶIS,"Akciju sabiedrība ""PATA Saldus""","Kuldīgas iela 86C, Saldus, Saldus nov.",1700 - 2500 ,31.12.2023
SĒTNIEKS,SOL Baltics OU Latvijas Filiāle,"Brīvības iela, Rīga",4.1 ,27.11.2023
TRANSPORTLĪDZEKĻU KRĀSOTĀJS,"Terra Inductus, SIA","Priekuļi, Priekuļu pag., Cēsu nov.",1300 - 1500 ,15.12.2023
APKOPĒJS,SOL Baltics OU Latvijas Filiāle,"Brīvības iela, Rīga",4.1 ,30.11.2023
VADOŠAIS PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,1600 - 1800 ,16.12.2023
DOCENTS,Rīgas Tehniskā universitāte,Rīga,400 - 1000 ,16.12.2023
NAMDARIS,"AS ""DelfinGroup""","Skanstes iela 50A, Rīga",9.5 - 10.5 ,10.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Dižozolu iela 1, Rīga",4.35 - 4.95 ,04.01.2024
MAIŅAS VECĀKAIS,"""MAXIMA Latvija"" SIA","Dižozolu iela 1, Rīga",5.7 - 6.5 ,04.01.2024
KRĀVĒJS (ROKU DARBS),"""MAXIMA Latvija"" SIA","Liepājas iela 76, Rīga",4.55 - 5.15 ,04.01.2024
VEIKALA KASIERIS,"""MAXIMA Latvija"" SIA","Augusta Deglava iela 7, Rīga",4.7 - 5.3 ,04.01.2024
VEIKALA KASIERIS,"""MAXIMA Latvija"" SIA","Dzirciema iela 1B, Rīga",4.7 - 5.3 ,04.01.2024
APKURES IEKĀRTAS OPERATORS,"Akciju sabiedrība ""Olainfarm""","Rūpnīcu iela 5, Olaine, Olaines nov.",5.3 ,16.12.2023
VECĀKAIS INSPEKTORS,Valsts augu aizsardzības dienests,"Viesnīcas iela 1, Saldus, Saldus nov.",1305 - 1450 ,05.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Smiltenes novada pašvaldība,"Līvu iela 5, Launkalne, Launkalnes pag., Smiltenes nov.",204.41 ,30.11.2023
PEDAGOGA PALĪGS,Daugavpils Tehnoloģiju vidusskola-licejs,"Tautas iela 59, Daugavpils",1020 ,26.11.2023
VADOŠAIS PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,2000 ,16.12.2023
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Smiltenes novada pašvaldība,"Līvu iela 5, Launkalne, Launkalnes pag., Smiltenes nov.",372 ,30.11.2023
VECĀKAIS INSPEKTORS,Valsts augu aizsardzības dienests,"Bāriņu iela 15, Liepāja",1215 - 1350 ,05.12.2023
MEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""HANSA FLEX HIDRAULIKA""","Būdiņas, Svelberģis, Beļavas pag., Gulbenes nov.",1000 ,30.11.2023
LABIEKĀRTOŠANAS STRĀDNIEKS,Mārupes novada pašvaldība,"Daugavas iela 29, Mārupe, Mārupes nov.",1000 ,01.01.2024
SOCIĀLAIS REHABILITĒTĀJS,Limbažu novada pašvaldība,"Cēsu iela 7, Limbaži, Limbažu nov.",753 ,30.11.2023
