Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
LOKMETINĀTĀJS METINĀŠANĀ AR VOLFRAMA ELEKTRODU INERTĀS GĀZES VIDĒ (TIG),"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
SANTEHNIĶIS,"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
FLĪZĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
VIRTUVES DARBINIEKS,"SIA ""STREET BURGERS LATVIA""","Blaumaņa iela 10, Rīga",1380 ,01.01.2025
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
METĀLMATERIĀLU METINĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
VĒDINĀŠANAS SISTĒMU MONTĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
REMONTATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""AIRINA""","Rīga, Flotes iela, 13",1373 ,31.12.2023
ROKAS LOKMETINĀTĀJS (MMA),"Sabiedrība ar ierobežotu atbildību ""AIRINA""","Rīga, Flotes iela, 13",1373 ,31.12.2023
Kuģu REMONTATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""AIRINA""","Rīga, Flotes iela, 13",1373 ,31.12.2023
TĀMĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""STARS MET""","Andreja Pumpura iela 100, Daugavpils",1000 - 1500 ,30.11.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""PK serviss""","Priedaines iela 1, Piņķi, Babītes pag., Mārupes nov.",1373 ,31.12.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Kapseļu iela 31, Rīga",662 - 718 ,30.11.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Zebiekstes iela 12, Rīga",331 - 359 ,30.11.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Kalnciema iela 93, Rīga",662 - 718 ,30.11.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Kalnciema iela 93, Rīga",331 - 359 ,30.11.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Braila iela 2, Rīga",662 - 718 ,30.11.2023
PROGRAMMĒTĀJS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1350 - 3000 ,01.12.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Berģu iela 160, Rīga, Berģu iela 142, Rīga",662 - 718 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""ImberAuto""","Palmu iela 9, Cēsis, Cēsu nov.",1373 ,29.11.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Rīga""","Kapseļu iela 31, Rīga, Mežrozīšu iela 22, Rīga",662 - 718 ,30.11.2023
LOKMETINĀTĀJS METINĀŠANĀ AR VOLFRAMA ELEKTRODU INERTĀS GĀZES VIDĒ (TIG),"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
BŪVNIEKS,"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
SASTATŅU MONTĒTĀJS,"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
ELEKTRIĶIS,"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
LAUKSAIMNIECĪBAS /FERMAS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""PĒRLES A.A.J.""","Daudži, Ķoņu pag., Valmieras nov.",1375 - 1400 ,01.12.2023
Metāla būvkonstrukciju MONTĒTĀJS,"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
Cauruļvadu MONTĒTĀJS,"SIA ""Baltic Builders""","Mūkusalas iela 72, Rīga",1373 ,31.12.2023
PALĪGSTRĀDNIEKS,"SIA ""NCC BALTIC""","Valmiera, Valmieras nov.",No 1373 ,30.11.2023
BŪVSTRĀDNIEKS,"SIA ""NCC BALTIC""","Valmiera, Valmieras nov.",No 1373 ,30.11.2023
LIFTU ELEKTROMEHĀNIĶIS,"SIA ""Skylift""",Daugavpils,1373 - 1500 ,30.03.2024
ELEKTRIĶIS,"SIA ""I.S.D.""","Baldones iela 2, Iecava, Bauskas nov.",1500 ,29.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""RENTRANS"", Sabiedrība ar ierobežotu atbildību","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""OPTI TRANSPORTS"", SIA","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""DB TRANS""","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
PALĪGSTRĀDNIEKS,"SIA ""Wood product services""","Ausekļu iela 4, Ķekava, Ķekavas nov.",6 ,31.12.2023
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AMB Solutions""","Brīvības iela 144, Rīga",1373 ,01.04.2024
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""INDIAN DREAMS""","Krišjāņa Barona iela 52, Rīga",1373 ,01.12.2023
PAVĀRS,Sabiedrība ar ierobežotu atbildību MIIM,"Ģertrūdes iela 66, Rīga",1373 - 1500 ,29.12.2023
VIRTUVES DARBINIEKS,Sabiedrība ar ierobežotu atbildību MIIM,"Ģertrūdes iela 66, Rīga",1373 - 1500 ,29.12.2023
BŪVSTRĀDNIEKS,Sabiedrība ar ierobežotu atbildību MIIM,Rīga,1373 - 2000 ,29.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""AURUMUS"", SIA","Uzvaras prospekts 9 - 9, Baloži, Ķekavas nov.",1373 - 2000 ,30.12.2023
MŪRNIEKS,"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
GĀZMETINĀTĀJS (OAW),"Sabiedrība ar ierobežotu atbildību ""Juridiskais birojs SALMANOFF LAW OFFICE""","Dzirnavu iela 43 - 3, Rīga",1373 ,31.12.2023
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""Talent Overseas"" SIA",Rīga,1400 - 2500 ,28.12.2023
JOGAS SPECIĀLISTS,AYURVEDA PALACE SIA,"Jomas iela 10 - 5, Jūrmala",500 - 1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""DB TRANS""","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""NB & BV Transport""","Rēzekne,Komunāla iela 2",1373 ,08.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""OPTI TRANSPORTS"", SIA","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""RENTRANS"", Sabiedrība ar ierobežotu atbildību","Rencēnu iela 10A, Rīga",1373 ,31.12.2023
GAĻAS PRODUKTU IZGATAVOTĀJS,"Sabiedrība ar ierobežotu atbildību ""RĒZEKNES GAĻAS KOMBINĀTS""","Rīgas iela 22, Rēzekne",1373 ,01.12.2023
GAĻAS IZCIRTĒJS,"Sabiedrība ar ierobežotu atbildību ""RĒZEKNES GAĻAS KOMBINĀTS""","Rīgas iela 22, Rēzekne",1373 ,01.12.2023
GAĻAS KŪPINĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""RĒZEKNES GAĻAS KOMBINĀTS""","Rīgas iela 22, Rēzekne",1373 ,01.12.2023
MEŽSAIMNIECĪBAS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Stende Forest""","Brīvības iela 8B - 34, Stende, Talsu nov.",1373 - 1500 ,31.03.2024
ROKAS LOKMETINĀTĀJS (MMA),"Sabiedrība ar ierobežotu atbildību Specializētā celtniecības-montāžas sabiedrība ""Dzirnakmens""","Lizuma iela 5E, Rīga",1373 ,31.12.2023
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Production Services""","Atlantijas iela 15, Rīga",1373 ,31.12.2023
JUMTU SKĀRDNIEKS,"SIA ""Barona jumti""","Krišjāņa Barona iela 119, Rīga",1373 ,30.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""Reanto""","Lomonosova iela 4, Rīga",1373 ,31.12.2023
Ceļu būves palīgSTRĀDNIEKS,"SIA ""PEAT BOG""","Jelgavas iela, Ozolnieki, Ozolnieku pag., Jelgavas nov.",1373 - 1500 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""Kreiss"", SIA","Rīga, Latvija",No 1373 ,31.12.2023
PALĪGSTRĀDNIEKS,BERHINT SIA,"Flotes iela 13, Rīga",1373 - 1500 ,31.01.2024
PAVĀRS,"""Lage Ltd"" SIA","Lielirbes iela 29, Rīga",1035 ,31.12.2023
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""EUROPEAN SOLUTIONS LLC"" SIA","Rīgas iela 31, Cēsis, Cēsu nov.",1400 - 1900 ,30.11.2023
BŪVSTRĀDNIEKS,"SIA ""LL BUVE""","Rīga, Latvija",1373 ,29.01.2024
ARHITEKTS,"SMEKO, SIA","Olaine, Olaines nov.",2500 - 3000 ,31.12.2023
RASĒTĀJS,"SMEKO, SIA","Olaine, Olaines nov.",1100 - 1700 ,31.12.2023
Būvniecības projektu VADĪTĀJS,"SMEKO, SIA","Olaine, Olaines nov.",1500 - 2000 ,31.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""Kim Johansen Transport"", SIA","Smaidu iela 1, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,31.12.2023
APDARES DARBU STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AND 111""","Tallinas iela 77A - 41, Rīga",1373 ,31.12.2023
KRĀSOTĀJS,"Sabiedrība ar ierobežotu atbildību ""AND 111""","Tallinas iela 77A - 41, Rīga",1373 ,31.12.2023
APMETĒJS,"Sabiedrība ar ierobežotu atbildību ""AND 111""","Tallinas iela 77A - 41, Rīga",1373 ,31.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AND 111""","Tallinas iela 77A - 41, Rīga",1373 ,31.12.2023
METĀLA APSTRĀDES IEKĀRTAS OPERATORS,SIA X GROUP,"Ilzenes iela 1B, Rīga",1500 - 3000 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""MK Trans Logistics"", SIA","Lāčplēša iela 87, Rīga",1373 - 1400 ,31.12.2023
TRANSPORTA DISPEČERS,"""MK Trans Logistics"", SIA","Lāčplēša iela 87, Rīga",1373 - 1400 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""DIMO""","Alekša iela 7, Rīga",1350 ,31.01.2024
ĀRSTA PALĪGS/ FELDŠERIS,Smiltenes novada pašvaldība,"Bitītes, Trapene, Trapenes pag., Smiltenes nov.",No 1032 ,30.11.2023
KUĢU CAURUĻU ATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""EUROSHIP SERVICE""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
KUĢUBŪVES ATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""EUROSHIP SERVICE""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
ROKAS LOKMETINĀTĀJS (MMA),"Sabiedrība ar ierobežotu atbildību ""EUROSHIP SERVICE""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
KUĢU CAURUĻU ATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""MARITIME COMPANI""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
KUĢUBŪVES ATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""MARITIME COMPANI""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
ROKAS LOKMETINĀTĀJS (MMA),"Sabiedrība ar ierobežotu atbildību ""MARITIME COMPANI""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
PALĪGSTRĀDNIEKS,SIA Rohiņi,"Stīpnieku ceļš 44C, Mārupe, Mārupes nov.",1373 - 1380 ,31.12.2023
GĀZMETINĀTĀJS (OAW),"Sabiedrība ar ierobežotu atbildību ""MARITIME COMPANI""","Rencēnu iela 8, Rīga",1373 ,31.12.2023
TRANSPORTA STRĀDNIEKS,"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 ,01.04.2024
REMONTSTRĀDNIEKS,"SIA ""Rehabilitācijas centrs ""Līgatne""""","Skaļupes, Līgatnes pag., Cēsu nov.",773 ,18.12.2023
MŪRNIEKS,"""Razer"", Sabiedrība ar ierobežotu atbildību","Kurzemes prospekts 3D, Rīga",1373 ,22.03.2024
VILCĒJAUTOMOBIĻA VADĪTĀJS,"SIA ""DTS Transport""","Liliju iela 20, Mārupe, Mārupes pag., Mārupes nov.",1373 - 1510 ,15.04.2024
INFEKTOLOGS,Ieslodzījuma vietu pārvalde,"Rīgas iela 10, Olaine, Olaines nov.",2238 - 2544 ,31.12.2023
"DERMATOLOGS, VENEROLOGS",Ieslodzījuma vietu pārvalde,"Rīgas iela 10, Olaine, Olaines nov.",2238 - 2544 ,31.12.2023
BŪVSTRĀDNIEKS,"SIA ""Aveluk Grupa""","Dzirnavu iela 57A - 4, Rīga",1373 ,31.01.2024
PNEIMONOLOGS,Ieslodzījuma vietu pārvalde,"Rīgas iela 10, Olaine, Olaines nov.",2238 - 2544 ,31.12.2023
ĀRSTS,"Sabiedrība ar ierobežotu atbildību ""JELGAVAS POLIKLĪNIKA""","Sudrabu Edžus iela 10, Jelgava",1555 - 2500 ,26.12.2023
BŪVSTRĀDNIEKS,"Pillar Contractor, SIA","Pulkveža Brieža iela 28A, Rīga",1373 - 1500 ,01.12.2023
DOKERS,"""BALTIC CONTAINER TERMINAL"", Sabiedrība ar ierobežotu atbildību","Uriekstes iela 32, Rīga",1373 ,29.12.2023
CEHA STRĀDNIEKS,ARMETS SIA,"Smiltnieku iela 22, Jelgava",1373 ,01.01.2024
PROGRAMMĒTĀJS,Visma Labs SIA,"Rīga, Ventspils",3000 - 3600 ,15.01.2024
BETONĒTĀJS,"SIA ""REDBRICK montare""",Rīgā.,1373 - 1400 ,31.12.2023
MŪRNIEKS,"SIA ""REDBRICK montare""",Rīgā.,1373 - 1400 ,31.12.2023
PALĪGSTRĀDNIEKS,KIRSO SIA,"VSIA’’Paula Stradiņa Klīniska Universitātes Slimnīca’’ Pilsoņu iela 13, Rīga, LV-1002, kā arī visā Latvijas teritorijā",1377 ,05.02.2024
PALĪGSTRĀDNIEKS,"SIA ""REDBRICK montare""",Rīgā;,1373 - 1400 ,31.12.2023
SKOLOTĀJS LOGOPĒDS,Rīgas 161. pirmsskolas izglītības iestāde,"Augusta Dombrovska iela 9C, Rīga",284.3 ,15.12.2023
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Rīgas 161. pirmsskolas izglītības iestāde,"Augusta Dombrovska iela 9C, Rīga",551.31 ,15.12.2023
MĒBEĻU GALDNIEKS,SIA RETHO,"Lejas, Zlēku pag., Ventspils nov.",1000 - 1400 ,14.04.2024
KLIENTU /PĀRDOŠANAS KONSULTANTS,"Sabiedrība ar ierobežotu atbildību ""PROSALE""","Tirgoņu iela 3, Cēsis, Cēsu nov.",800 - 900 ,15.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Oxy Life""",Rīga,1373 ,31.01.2024
AUTOATSLĒDZNIEKS,"""LP express"", Sabiedrība ar ierobežotu atbildību","Odzītes, Saurieši, Stopiņu pag., Ropažu nov.",1373 ,31.12.2024
SOCIĀLAIS APRŪPĒTĀJS,"SIA ""LMTT Family""","Artilērijas iela 3, Rīga",1500 - 2200 ,31.12.2023
BŪVSTRĀDNIEKS,"SIA ""REVOHAUS""","Katlakalna iela 9A, Rīga",1373 ,31.03.2024
METODIĶIS (FINANŠU UN TIRDZNIECĪBAS JOMĀ),SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1600 - 2400 ,01.12.2023
METODIĶIS (FINANŠU UN TIRDZNIECĪBAS JOMĀ),SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1600 - 2400 ,01.12.2023
PAVĀRS,"SIA ""RIMI LATVIA""","Augusta Deglava iela 161, Rīga",6 - 7 ,07.12.2023
KONTROLES MĒRAPARĀTU UN AUTOMĀTIKAS ELEKTROATSLĒDZNIEKS,"SIA ""I.S.D.""","Baldones iela 2, Iecava, Bauskas nov.",1860 ,29.11.2023
PĀRTIKAS PRODUKTU RAŽOŠANAS OPERATORS,"SIA ""I.S.D.""","Baldones iela 2, Iecava, Bauskas nov.",1100 - 1300 ,29.11.2023
AUTOATSLĒDZNIEKS,"""KURBADS UN KO"", Sabiedrība ar ierobežotu atbildību","Mazjumpravas iela 24, Rīga",1700 - 2843 ,01.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""KURBADS UN KO"", Sabiedrība ar ierobežotu atbildību","Mazjumpravas iela 24, Rīga",1373 ,01.12.2023
PAVĀRS,SIA China Food,"Dzirnavu iela 55 - 2, Rīga",1373 ,06.03.2024
REMONTSTRĀDNIEKS,"SIA ""Meistarins""","Ulbrokas iela 42G, Rīga",1373 - 1500 ,31.12.2023
LAUKSAIMNIECĪBAS /FERMAS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""PĒRLES A.A.J.""","Daudži, Ķoņu pag., Valmieras nov.",1375 - 1400 ,20.03.2024
Būvniecības projektu VADĪTĀJS,"SIA ""PILSBŪVE""","Kuldīgas iela 9, Ventspils",2405 - 2842 ,30.11.2023
BŪVSTRĀDNIEKS,"SIA ""UKK Group""",Latvijas Republika,1373 ,01.05.2024
PALĪGSTRĀDNIEKS,Rīgas Valsts tehnikums,"Dārzciema iela 70, Rīga",620 ,31.12.2023
FRIZIERIS,"Sabiedrība ar ierobežotu atbildību ""Hum""","Brīvības iela 132F, Rīga",1400 ,30.12.2023
ZOBĀRSTS,"SIA ""Rīgas veselības centrs""","Spulgas iela 24, Rīga",3000 ,09.12.2023
PROJEKTA VADĪTĀJS,"SIA ""Stamina Hospitality Services""","Aleksandra Čaka iela 24 - 6, Rīga, LV-1011",1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,SIA Patrius,"Bišu iela 8, Cēsis, Cēsu nov.",1100 ,20.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,SIA Patrius,"Bišu iela 8, Cēsis, Cēsu nov.",1400 ,20.01.2024
APDARES DARBU STRĀDNIEKS,SIA RP Building,"Jūrkalnes iela 6, Rīga",1300 - 1400 ,31.12.2023
APKURES SISTĒMU MONTĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""Citrus Solutions""","Dzirnavu iela 5, Rīga",1277 - 1700 ,31.12.2023
ŠŪŠANAS IEKĀRTU OPERATORS,NEMO SIA,"Sporta iela 8, Krāslava, Krāslavas nov.",620 - 1000 ,30.11.2023
PSIHOLOGS,Ieslodzījuma vietu pārvalde,"Palīdzības iela 3, Jelgava",1252 - 1370 ,31.12.2023
PSIHOLOGS,Ieslodzījuma vietu pārvalde,"Rīgas iela 10, Olaine, Olaines nov.",1252 - 1370 ,31.12.2023
MEHĀNIKAS INŽENIERIS,ANTIKS PAINT SIA,"Flotes iela 13, Rīga",1380 - 1700 ,29.02.2024
PSIHOLOGS,Ieslodzījuma vietu pārvalde,"Lielā iela 1, Daugavpils",1252 - 1370 ,31.12.2023
PSIHOLOGS,Ieslodzījuma vietu pārvalde,"Ķieģeļu iela 14, Jēkabpils, Jēkabpils nov.",1252 - 1370 ,31.12.2023
SKĀRDNIEKS,"Akciju sabiedrība ""Mārupes Metālmeistars""","Stadiona iela 1, Ozolnieki, Ozolnieku pag., Jelgavas nov.",No 1150 ,09.01.2024
BŪVDARBU VADĪTĀJS,"SIA ""PILSBŪVE""",Ventspils,1400 - 2120 ,30.11.2023
BŪVSTRĀDNIEKS,"SIA ""PILSBŪVE""","Kuldīgas iela 9, Ventspils",900 - 1500 ,30.11.2023
AUTOATSLĒDZNIEKS,"SIA ""KILIMALIS""","Lubānas iela 82, Rīga",1373 ,30.11.2023
VIRTUVES DARBINIEKS,"SIA ""RIMI LATVIA""","Augusta Deglava iela 161, Rīga",5 - 6 ,30.11.2023
APMETĒJS,"Sabiedrība ar ierobežotu atbildību ""AMO un KO""","Staraja Rūsas iela 5, Rīga un Murjāņu iela 36, Rīga",1400 ,30.11.2023
MŪRNIEKS,"Sabiedrība ar ierobežotu atbildību ""AMO un KO""","Slokas iela 29, Rīga",1400 ,30.11.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AMO un KO""","Staraja Rūsas iela 5, Rīga, Murjāņu iela 36, Rīga",1400 ,30.11.2023
BŪVSTRĀDNIEKS,BERHINT SIA,"Muižas iela 8, Ādaži, Ādažu nov.",1373 - 1450 ,31.03.2024
METĀLA /SMILŠSTRŪKLAS IEKĀRTAS OPERATORS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1373 ,01.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""INDIAN DREAMS""","Krišjāņa Barona iela 52, Rīga",1277 ,01.02.2024
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Palīdzības iela 3, Jelgava",990 - 1110 ,31.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Tvaikoņu iela 3, Rīga",990 - 1110 ,31.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Ķieģeļu iela 14, Jēkabpils, Jēkabpils nov.",990 - 1110 ,31.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Līgatnes iela 6, Cēsis, Cēsu nov.",990 - 1110 ,31.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Mazā Matīsa iela 5, Rīga",990 - 1110 ,31.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Rīgas iela 10, Olaine, Olaines nov.",990 - 1110 ,31.12.2023
BŪVSTRĀDNIEKS,"SIA ""StroiTaim""","Rembates iela 10, Rīga",1373 - 2000 ,20.12.2023
Izglītības un skolu PSIHOLOGS,Ulbrokas vidusskola,"Ulbrokas vidusskola, Vālodzes, Stopiņu pag., Ropažu nov.",1078 - 1185 ,31.05.2024
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Ulbrokas vidusskola,"Ulbrokas vidusskola, Vālodzes, Stopiņu pag., Ropažu nov.",1320 - 1452 ,31.05.2024
ZOBĀRSTS,"Sabiedrība ar ierobežotu atbildību ""Zūbs""","Rīgas iela 1B, Rēzekne",1000 - 5000 ,08.12.2023
BŪVSTRĀDNIEKS,SIA SANSAARA,"Rembates iela 10, Rīga",1300 - 2500 ,31.12.2023
Datu ANALĪTIĶIS,SIA Media Solutions,"Dzirnavu iela 37, Rīga",2186.59 - 2200 ,31.12.2023
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""AK Cuisines""","Krišjāņa Barona iela 140 - 6/8, Rīga",1377 ,30.11.2023
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""EURO & AB""","Viskaļu iela 36A, Rīga",1373 - 1500 ,01.04.2024
BŪVSTRĀDNIEKS,"SIA ""EVR Development""","Pulkveža Brieža iela 15, Rīga",1373 ,01.01.2024
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""OTREX""","Aleksandra Čaka iela 110, Rīga",1200 - 1500 ,31.12.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""DŪŅENIEKI""","Atvaru iela 6, Bukulti, Garkalnes pag., Ropažu nov.",1373 ,30.04.2024
TEHNISKAIS SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""HANSA FLEX HIDRAULIKA""","Sāremas iela 2, Rīga",1200 ,30.11.2023
SPORTA SPECIĀLISTS,"SIA ""Rīgas veselības centrs""","Mežrozīšu iela 43, Rīga",9.85 ,09.12.2023
PROGRAMMĒTĀJS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1200 - 3800 ,01.12.2023
SISTĒMANALĪTIĶIS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1600 - 2400 ,01.12.2023
FINANŠU ANALĪTIĶIS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1400 - 2100 ,01.12.2023
SISTĒMANALĪTIĶIS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1300 - 2400 ,01.12.2023
NORĒĶINU ADMINISTRATORS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1277 - 1740 ,01.12.2023
PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (FINANŠU UN APDROŠINĀŠANAS JOMĀ),SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",2150 - 5500 ,01.12.2023
DROŠĪBAS DIENESTA SPECIĀLISTS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1200 - 1750 ,01.12.2023
PROGRAMMĒTĀJS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1350 - 4500 ,01.12.2023
ŠŪŠANAS IEKĀRTU OPERATORS,"SIA ""IRENELE""","Aronsona iela 19, Krāslava, Krāslavas nov.",620 - 1000 ,30.11.2023
KŪDRAS IEGUVES PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""SOLIS A.U.""","Rāķi, Brīvzemnieku pag., Limbažu nov.",1373 - 1600 ,31.12.2023
